SRPid,Bioproject,SRRid,SRAlink
SRP092408,PRJNA35207,SRR4786029,
SRP092408,PRJNA35207,SRR4786028,
SRP092408,PRJNA35207,SRR4786027,
SRP092408,PRJNA35207,SRR4786026,
SRP092408,PRJNA35207,SRR4786025,
SRP092408,PRJNA35207,SRR4786024,
SRP092408,PRJNA35207,SRR4786023,
SRP092408,PRJNA35207,SRR4786022,
SRP092408,PRJNA35207,SRR4786021,
SRP092408,PRJNA35207,SRR4786020,
SRP092408,PRJNA35207,SRR4786019,
SRP092408,PRJNA35207,SRR4786018,
SRP092408,PRJNA35207,SRR4786017,
SRP092408,PRJNA35207,SRR4786016,
SRP092408,PRJNA35207,SRR4786015,
SRP092408,PRJNA35207,SRR4786014,
SRP092408,PRJNA35207,SRR4786013,
SRP092408,PRJNA35207,SRR4786012,
SRP092408,PRJNA35207,SRR4786011,
SRP092408,PRJNA35207,SRR4786010,
SRP092408,PRJNA35207,SRR4786009,
SRP092408,PRJNA35207,SRR4786008,
SRP092408,PRJNA35207,SRR4786007,
SRP092408,PRJNA35207,SRR4786006,
SRP092408,PRJNA35207,SRR4786005,
SRP092408,PRJNA35207,SRR4786004,
SRP092408,PRJNA35207,SRR4786003,
SRP092408,PRJNA35207,SRR4786002,
SRP092408,PRJNA35207,SRR4786001,
SRP092408,PRJNA35207,SRR4786000,
SRP092408,PRJNA35207,SRR4785999,
SRP092408,PRJNA35207,SRR4785998,
SRP092408,PRJNA35207,SRR4785997,
SRP092408,PRJNA35207,SRR4785996,
SRP092408,PRJNA35207,SRR4785995,
SRP092408,PRJNA35207,SRR4785994,
SRP092408,PRJNA35207,SRR4785993,
SRP092408,PRJNA35207,SRR4785992,
SRP092408,PRJNA35207,SRR4785991,
SRP092408,PRJNA35207,SRR4785990,
SRP092408,PRJNA35207,SRR4785989,
SRP092408,PRJNA35207,SRR4785988,
SRP092408,PRJNA35207,SRR4785987,
SRP092408,PRJNA35207,SRR4785986,
SRP092408,PRJNA35207,SRR4785985,
SRP092408,PRJNA35207,SRR4785984,
SRP092408,PRJNA35207,SRR4785983,
SRP092408,PRJNA35207,SRR4785982,
SRP092408,PRJNA35207,SRR4785981,
SRP092408,PRJNA35207,SRR4785980,
SRP092408,PRJNA35207,SRR4785979,
SRP092408,PRJNA35207,SRR4785978,
SRP092408,PRJNA35207,SRR4785977,
SRP092408,PRJNA35207,SRR4785976,
SRP092408,PRJNA35207,SRR4785975,
SRP092408,PRJNA35207,SRR4785974,
SRP092408,PRJNA35207,SRR4785973,
SRP092408,PRJNA35207,SRR4785972,
SRP092408,PRJNA35207,SRR4785971,
SRP092408,PRJNA35207,SRR4785970,
SRP092408,PRJNA35207,SRR4785969,
SRP092408,PRJNA35207,SRR4785968,
SRP092408,PRJNA35207,SRR4785967,
SRP092408,PRJNA35207,SRR4785966,
SRP092408,PRJNA35207,SRR4785965,
SRP092408,PRJNA35207,SRR4785964,
SRP092408,PRJNA35207,SRR4785963,
SRP092408,PRJNA35207,SRR4785962,
SRP092408,PRJNA35207,SRR4785961,
SRP092408,PRJNA35207,SRR4785960,
SRP092408,PRJNA35207,SRR4785959,
SRP092408,PRJNA35207,SRR4785958,
SRP092408,PRJNA35207,SRR4785957,
SRP092408,PRJNA35207,SRR4785956,
SRP092408,PRJNA35207,SRR4785955,
SRP092408,PRJNA35207,SRR4785954,
SRP092408,PRJNA35207,SRR4785953,
SRP092408,PRJNA35207,SRR4785952,
SRP092408,PRJNA35207,SRR4785951,
SRP092408,PRJNA35207,SRR4785950,
SRP092408,PRJNA35207,SRR4785949,
SRP092408,PRJNA35207,SRR4785948,
SRP092408,PRJNA35207,SRR4785947,
SRP092408,PRJNA35207,SRR4785946,
SRP092408,PRJNA35207,SRR4785945,
SRP092408,PRJNA35207,SRR4785944,
SRP092408,PRJNA35207,SRR4785943,
SRP092408,PRJNA35207,SRR4785942,
SRP092408,PRJNA35207,SRR4785941,
SRP092408,PRJNA35207,SRR4785940,
SRP092408,PRJNA35207,SRR4785939,
SRP092408,PRJNA35207,SRR4785938,
SRP092408,PRJNA35207,SRR4785937,
SRP092408,PRJNA35207,SRR4785936,
SRP092408,PRJNA35207,SRR4785935,
SRP092408,PRJNA35207,SRR4785934,
SRP092408,PRJNA35207,SRR4785933,
SRP092408,PRJNA35207,SRR4785932,
SRP092408,PRJNA35207,SRR4785931,
SRP092408,PRJNA35207,SRR4785930,
SRP092408,PRJNA35207,SRR4785929,
SRP092408,PRJNA35207,SRR4785928,
SRP092408,PRJNA35207,SRR4785927,
SRP092408,PRJNA35207,SRR4785926,
SRP092408,PRJNA35207,SRR4785925,
SRP092408,PRJNA35207,SRR4785924,
SRP092408,PRJNA35207,SRR4785923,
SRP092408,PRJNA35207,SRR4785922,
SRP092408,PRJNA35207,SRR4785921,
SRP092408,PRJNA35207,SRR4785920,
SRP092408,PRJNA35207,SRR4785919,
SRP092408,PRJNA35207,SRR4785918,
SRP092408,PRJNA35207,SRR4785917,
SRP092408,PRJNA35207,SRR4785916,
SRP092408,PRJNA35207,SRR4785915,
SRP092408,PRJNA35207,SRR4785914,
SRP092408,PRJNA35207,SRR4785913,
SRP092408,PRJNA35207,SRR4785912,
SRP092408,PRJNA35207,SRR4785911,
SRP092408,PRJNA35207,SRR4785910,
SRP092408,PRJNA35207,SRR4785909,
SRP092408,PRJNA35207,SRR4785908,
SRP092408,PRJNA35207,SRR4785907,
SRP092408,PRJNA35207,SRR4785906,
SRP092408,PRJNA35207,SRR4785905,
SRP092408,PRJNA35207,SRR4785904,
SRP092408,PRJNA35207,SRR4785903,
SRP092408,PRJNA35207,SRR4785902,
SRP092408,PRJNA35207,SRR4785901,
SRP092408,PRJNA35207,SRR4785900,
SRP092408,PRJNA35207,SRR4785899,
SRP092408,PRJNA35207,SRR4785898,
SRP092408,PRJNA35207,SRR4785897,
SRP092408,PRJNA35207,SRR4785896,
SRP092408,PRJNA35207,SRR4785895,
SRP092408,PRJNA35207,SRR4785894,
SRP092408,PRJNA35207,SRR4785893,
SRP092408,PRJNA35207,SRR4785892,
SRP092408,PRJNA35207,SRR4785891,
SRP092408,PRJNA35207,SRR4785890,
SRP092408,PRJNA35207,SRR4785889,
SRP092408,PRJNA35207,SRR4785888,
SRP092408,PRJNA35207,SRR4785887,
SRP092408,PRJNA35207,SRR4785886,
SRP092408,PRJNA35207,SRR4785885,
SRP092408,PRJNA35207,SRR4785884,
SRP092408,PRJNA35207,SRR4785883,
SRP092408,PRJNA35207,SRR4785882,
SRP092408,PRJNA35207,SRR4785881,
SRP092408,PRJNA35207,SRR4785880,
SRP092408,PRJNA35207,SRR4785879,
SRP092408,PRJNA35207,SRR4785878,
SRP092408,PRJNA35207,SRR4785877,
SRP092408,PRJNA35207,SRR4785876,
SRP092408,PRJNA35207,SRR4785875,
SRP092408,PRJNA35207,SRR4785874,
SRP092408,PRJNA35207,SRR4785873,
SRP092408,PRJNA35207,SRR4785872,
SRP092408,PRJNA35207,SRR4785871,
SRP092408,PRJNA35207,SRR4785870,
SRP092408,PRJNA35207,SRR4785869,
SRP092408,PRJNA35207,SRR4785868,
SRP092408,PRJNA35207,SRR4785867,
SRP092408,PRJNA35207,SRR4785866,
SRP092408,PRJNA35207,SRR4785865,
SRP092408,PRJNA35207,SRR4785864,
SRP092408,PRJNA35207,SRR4785863,
SRP092408,PRJNA35207,SRR4785862,
SRP092408,PRJNA35207,SRR4785861,
SRP092408,PRJNA35207,SRR4785860,
SRP092408,PRJNA35207,SRR4785859,
SRP092408,PRJNA35207,SRR4785858,
SRP092408,PRJNA35207,SRR4785857,
SRP092408,PRJNA35207,SRR4785856,
SRP092408,PRJNA35207,SRR4785855,
SRP092408,PRJNA35207,SRR4785854,
SRP092408,PRJNA35207,SRR4785853,
SRP092408,PRJNA35207,SRR4785852,
SRP092408,PRJNA35207,SRR4785851,
SRP092408,PRJNA35207,SRR4785850,
SRP092408,PRJNA35207,SRR4785849,
SRP092408,PRJNA35207,SRR4785848,
SRP092408,PRJNA35207,SRR4785847,
SRP092408,PRJNA35207,SRR4785846,
SRP092408,PRJNA35207,SRR4785845,
SRP092408,PRJNA35207,SRR4785844,
SRP092408,PRJNA35207,SRR4785843,
SRP092408,PRJNA35207,SRR4785842,
SRP092408,PRJNA35207,SRR4785841,
SRP092408,PRJNA35207,SRR4785840,
SRP092408,PRJNA35207,SRR4785839,
SRP092408,PRJNA35207,SRR4785838,
SRP092408,PRJNA35207,SRR4785837,
SRP092408,PRJNA35207,SRR4785836,
SRP092408,PRJNA35207,SRR4785835,
SRP092408,PRJNA35207,SRR4785834,
SRP092408,PRJNA35207,SRR4785833,
SRP092408,PRJNA35207,SRR4785832,
SRP092408,PRJNA35207,SRR4785831,
SRP092408,PRJNA35207,SRR4785830,
SRP092408,PRJNA35207,SRR4785829,
SRP092408,PRJNA35207,SRR4785828,
SRP092408,PRJNA35207,SRR4785827,
SRP092408,PRJNA35207,SRR4785826,
SRP092408,PRJNA35207,SRR4785825,
SRP092408,PRJNA35207,SRR4785824,
SRP092408,PRJNA35207,SRR4785823,
SRP092408,PRJNA35207,SRR4785822,
SRP092408,PRJNA35207,SRR4785821,
SRP092408,PRJNA35207,SRR4785820,
SRP092408,PRJNA35207,SRR4785819,
SRP092408,PRJNA35207,SRR4785818,
SRP092408,PRJNA35207,SRR4785817,
SRP092408,PRJNA35207,SRR4785816,
SRP092408,PRJNA35207,SRR4785815,
SRP092408,PRJNA35207,SRR4785814,
SRP092408,PRJNA35207,SRR4785813,
SRP092408,PRJNA35207,SRR4785812,
